strain	virus	date	region	country_exposure	date_submitted	lineage
hCoV-19/USA/NY-NYCPHL-003447/2021_EPI_ISL_1114517_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003449/2021_EPI_ISL_1114518_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.1.7
hCoV-19/USA/NY-NYCPHL-003451/2021_EPI_ISL_1114519_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.525
hCoV-19/USA/NY-NYCPHL-003452/2021_EPI_ISL_1114520_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003453/2021_EPI_ISL_1114521_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003454/2021_EPI_ISL_1114522_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003455/2021_EPI_ISL_1114523_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003459/2021_EPI_ISL_1114524_2021-02-19	ncov	2021-02-19	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003460/2021_EPI_ISL_1114525_2021-02-16	ncov	2021-02-16	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003461/2021_EPI_ISL_1114526_2021-02-16	ncov	2021-02-16	North America	?	2030-03-22	B.1.429
hCoV-19/USA/NY-NYCPHL-003462/2021_EPI_ISL_1114527_2021-02-16	ncov	2021-02-16	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-003466/2021_EPI_ISL_1114528_2021-02-16	ncov	2021-02-16	North America	?	2030-03-22	B.1.1.207
hCoV-19/USA/NY-NYCPHL-003467/2021_EPI_ISL_1114529_2021-02-18	ncov	2021-02-18	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-003468/2021_EPI_ISL_1114530_2021-02-17	ncov	2021-02-17	North America	?	2030-03-22	B.1.526
hCoV-19/USA/NY-NYCPHL-000402/2020_EPI_ISL_631886_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000403/2020_EPI_ISL_631887_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000404/2020_EPI_ISL_631888_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1.108
hCoV-19/USA/NY-NYCPHL-000405/2020_EPI_ISL_631889_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000406/2020_EPI_ISL_631890_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000407/2020_EPI_ISL_631891_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000408/2020_EPI_ISL_631892_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000409/2020_EPI_ISL_631893_2020-04-11	ncov	2020-04-11	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000410/2020_EPI_ISL_631894_2020-03-26	ncov	2020-03-26	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000411/2020_EPI_ISL_631895_2020-03-26	ncov	2020-03-26	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000412/2020_EPI_ISL_631896_2020-03-27	ncov	2020-03-27	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000413/2020_EPI_ISL_631897_2020-03-27	ncov	2020-03-27	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000414/2020_EPI_ISL_631898_2020-03-28	ncov	2020-03-28	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000415/2020_EPI_ISL_631899_2020-03-29	ncov	2020-03-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000416/2020_EPI_ISL_631900_2020-03-29	ncov	2020-03-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000418/2020_EPI_ISL_631901_2020-03-30	ncov	2020-03-30	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000419/2020_EPI_ISL_631902_2020-03-30	ncov	2020-03-30	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000420/2020_EPI_ISL_631903_2020-03-30	ncov	2020-03-30	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000421/2020_EPI_ISL_631904_2020-03-31	ncov	2020-03-31	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-000422/2020_EPI_ISL_631905_2020-03-31	ncov	2020-03-31	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000423/2020_EPI_ISL_631906_2020-03-31	ncov	2020-03-31	North America	?	2030-03-22	B.1.359
hCoV-19/USA/NY-NYCPHL-000424/2020_EPI_ISL_631907_2020-04-13	ncov	2020-04-13	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000425/2020_EPI_ISL_631908_2020-04-14	ncov	2020-04-14	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000426/2020_EPI_ISL_631909_2020-04-14	ncov	2020-04-14	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000430/2020_EPI_ISL_631910_2020-04-19	ncov	2020-04-19	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000433/2020_EPI_ISL_631911_2020-04-21	ncov	2020-04-21	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000434/2020_EPI_ISL_631912_2020-04-21	ncov	2020-04-21	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000439/2020_EPI_ISL_631913_2020-03-09	ncov	2020-03-09	North America	?	2030-03-22	A.1
hCoV-19/USA/NY-NYCPHL-000440/2020_EPI_ISL_631914_2020-03-12	ncov	2020-03-12	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000441/2020_EPI_ISL_631915_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1.319
hCoV-19/USA/NY-NYCPHL-000442/2020_EPI_ISL_631916_2020-04-11	ncov	2020-04-11	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000443/2020_EPI_ISL_631917_2020-03-31	ncov	2020-03-31	North America	?	2030-03-22	B.40
hCoV-19/USA/NY-NYCPHL-000444/2020_EPI_ISL_631918_2020-04-01	ncov	2020-04-01	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000445/2020_EPI_ISL_631919_2020-04-01	ncov	2020-04-01	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000446/2020_EPI_ISL_631920_2020-04-01	ncov	2020-04-01	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000447/2020_EPI_ISL_631921_2020-04-03	ncov	2020-04-03	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000448/2020_EPI_ISL_631922_2020-04-03	ncov	2020-04-03	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000449/2020_EPI_ISL_631923_2020-04-03	ncov	2020-04-03	North America	?	2030-03-22	B.1.507
hCoV-19/USA/NY-NYCPHL-000450/2020_EPI_ISL_631924_2020-04-03	ncov	2020-04-03	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000451/2020_EPI_ISL_631925_2020-03-23	ncov	2020-03-23	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000452/2020_EPI_ISL_631926_2020-04-04	ncov	2020-04-04	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000453/2020_EPI_ISL_631927_2020-04-04	ncov	2020-04-04	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000454/2020_EPI_ISL_631928_2020-04-05	ncov	2020-04-05	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000456/2020_EPI_ISL_631929_2020-04-06	ncov	2020-04-06	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000457/2020_EPI_ISL_631930_2020-04-06	ncov	2020-04-06	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000458/2020_EPI_ISL_631931_2020-04-05	ncov	2020-04-05	North America	?	2030-03-22	B.1.302
hCoV-19/USA/NY-NYCPHL-000461/2020_EPI_ISL_631932_2020-05-05	ncov	2020-05-05	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000463/2020_EPI_ISL_631933_2020-05-07	ncov	2020-05-07	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000464/2020_EPI_ISL_631934_2020-05-07	ncov	2020-05-07	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000465/2020_EPI_ISL_631935_2020-05-07	ncov	2020-05-07	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000466/2020_EPI_ISL_631936_2020-05-08	ncov	2020-05-08	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000467/2020_EPI_ISL_631937_2020-05-09	ncov	2020-05-09	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000468/2020_EPI_ISL_631938_2020-05-12	ncov	2020-05-12	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000469/2020_EPI_ISL_631939_2020-05-01	ncov	2020-05-01	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000470/2020_EPI_ISL_631940_2020-05-01	ncov	2020-05-01	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-000472/2020_EPI_ISL_631941_2020-05-01	ncov	2020-05-01	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000473/2020_EPI_ISL_631942_2020-05-02	ncov	2020-05-02	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000475/2020_EPI_ISL_631943_2020-05-02	ncov	2020-05-02	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000477/2020_EPI_ISL_631944_2020-05-05	ncov	2020-05-05	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000478/2020_EPI_ISL_631945_2020-05-05	ncov	2020-05-05	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000479/2020_EPI_ISL_631946_2020-05-06	ncov	2020-05-06	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000480/2020_EPI_ISL_631947_2020-05-06	ncov	2020-05-06	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000481/2020_EPI_ISL_631948_2020-05-06	ncov	2020-05-06	North America	?	2030-03-22	B.1.507
hCoV-19/USA/NY-NYCPHL-000483/2020_EPI_ISL_631949_2020-05-07	ncov	2020-05-07	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000485/2020_EPI_ISL_631950_2020-04-10	ncov	2020-04-10	North America	?	2030-03-22	B.1.413
hCoV-19/USA/NY-NYCPHL-000486/2020_EPI_ISL_631951_2020-04-11	ncov	2020-04-11	North America	?	2030-03-22	B.37
hCoV-19/USA/NY-NYCPHL-000487/2020_EPI_ISL_631952_2020-03-28	ncov	2020-03-28	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000490/2020_EPI_ISL_631953_2020-04-01	ncov	2020-04-01	North America	?	2030-03-22	B.1.369
hCoV-19/USA/NY-NYCPHL-000491/2020_EPI_ISL_631954_2020-04-01	ncov	2020-04-01	North America	?	2030-03-22	A.3
hCoV-19/USA/NY-NYCPHL-000492/2020_EPI_ISL_631955_2020-04-04	ncov	2020-04-04	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000494/2020_EPI_ISL_631956_2020-05-14	ncov	2020-05-14	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000495/2020_EPI_ISL_631957_2020-05-13	ncov	2020-05-13	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000496/2020_EPI_ISL_631958_2020-04-05	ncov	2020-04-05	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000498/2020_EPI_ISL_631959_2020-04-07	ncov	2020-04-07	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000499/2020_EPI_ISL_631960_2020-04-07	ncov	2020-04-07	North America	?	2030-03-22	B.1.507
hCoV-19/USA/NY-NYCPHL-000500/2020_EPI_ISL_631961_2020-03-29	ncov	2020-03-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000501/2020_EPI_ISL_631962_2020-03-29	ncov	2020-03-29	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000502/2020_EPI_ISL_631963_2020-03-28	ncov	2020-03-28	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000503/2020_EPI_ISL_631964_2020-03-28	ncov	2020-03-28	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000504/2020_EPI_ISL_631965_2020-03-27	ncov	2020-03-27	North America	?	2030-03-22	B
hCoV-19/USA/NY-NYCPHL-000505/2020_EPI_ISL_631966_2020-03-26	ncov	2020-03-26	North America	?	2030-03-22	B.1.302
hCoV-19/USA/NY-NYCPHL-000506/2020_EPI_ISL_631967_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000507/2020_EPI_ISL_631968_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000508/2020_EPI_ISL_631969_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000509/2020_EPI_ISL_631970_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	A.3
hCoV-19/USA/NY-NYCPHL-000510/2020_EPI_ISL_631971_2020-03-24	ncov	2020-03-24	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000511/2020_EPI_ISL_631972_2020-03-25	ncov	2020-03-25	North America	?	2030-03-22	B.1.108
hCoV-19/USA/NY-NYCPHL-000512/2020_EPI_ISL_631973_2020-03-23	ncov	2020-03-23	North America	?	2030-03-22	B.1.369
hCoV-19/USA/NY-NYCPHL-000513/2020_EPI_ISL_631974_2020-03-23	ncov	2020-03-23	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000514/2020_EPI_ISL_631975_2020-03-22	ncov	2020-03-22	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000515/2020_EPI_ISL_631976_2020-03-20	ncov	2020-03-20	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000516/2020_EPI_ISL_631977_2020-03-20	ncov	2020-03-20	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000517/2020_EPI_ISL_631978_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000518/2020_EPI_ISL_631979_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1.302
hCoV-19/USA/NY-NYCPHL-000519/2020_EPI_ISL_631980_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000520/2020_EPI_ISL_631981_2020-03-16	ncov	2020-03-16	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000521/2020_EPI_ISL_631982_2020-03-12	ncov	2020-03-12	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000522/2020_EPI_ISL_631983_2020-03-08	ncov	2020-03-08	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000523/2020_EPI_ISL_631984_2020-03-19	ncov	2020-03-19	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000524/2020_EPI_ISL_631985_2020-04-07	ncov	2020-04-07	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000525/2020_EPI_ISL_631986_2020-04-08	ncov	2020-04-08	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000526/2020_EPI_ISL_631987_2020-04-06	ncov	2020-04-06	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000527/2020_EPI_ISL_631988_2020-04-06	ncov	2020-04-06	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000528/2020_EPI_ISL_631989_2020-04-05	ncov	2020-04-05	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000529/2020_EPI_ISL_631990_2020-04-03	ncov	2020-04-03	North America	?	2030-03-22	B.1.413
hCoV-19/USA/NY-NYCPHL-000530/2020_EPI_ISL_631991_2020-04-02	ncov	2020-04-02	North America	?	2030-03-22	B.1.369
hCoV-19/USA/NY-NYCPHL-000531/2020_EPI_ISL_631992_2020-04-01	ncov	2020-04-01	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000532/2020_EPI_ISL_631993_2020-03-12	ncov	2020-03-12	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000533/2020_EPI_ISL_631994_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000534/2020_EPI_ISL_631995_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000536/2020_EPI_ISL_631996_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1.332
hCoV-19/USA/NY-NYCPHL-000537/2020_EPI_ISL_631997_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000538/2020_EPI_ISL_631998_2020-03-18	ncov	2020-03-18	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-000539/2020_EPI_ISL_631999_2020-03-19	ncov	2020-03-19	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-001232/2020_EPI_ISL_683940_2020-11-05	ncov	2020-11-05	North America	?	2030-03-22	B.1.1.231
hCoV-19/USA/NY-NYCPHL-001233/2020_EPI_ISL_683941_2020-11-05	ncov	2020-11-05	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001238/2020_EPI_ISL_683942_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001239/2020_EPI_ISL_683943_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001242/2020_EPI_ISL_683944_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001243/2020_EPI_ISL_683945_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001250/2020_EPI_ISL_683946_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-001251/2020_EPI_ISL_683947_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1
hCoV-19/USA/NY-NYCPHL-001252/2020_EPI_ISL_683948_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001253/2020_EPI_ISL_683949_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001255/2020_EPI_ISL_683950_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001257/2020_EPI_ISL_683951_2020-11-06	ncov	2020-11-06	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-001269/2020_EPI_ISL_683952_2020-11-09	ncov	2020-11-09	North America	?	2030-03-22	B.1.349
hCoV-19/USA/NY-NYCPHL-001272/2020_EPI_ISL_683953_2020-11-09	ncov	2020-11-09	North America	?	2030-03-22	B.1.1.247
hCoV-19/USA/NY-NYCPHL-001274/2020_EPI_ISL_683954_2020-11-09	ncov	2020-11-09	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001277/2020_EPI_ISL_683955_2020-11-09	ncov	2020-11-09	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001283/2020_EPI_ISL_683956_2020-11-09	ncov	2020-11-09	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-001291/2020_EPI_ISL_683957_2020-11-09	ncov	2020-11-09	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-001292/2020_EPI_ISL_683958_2020-11-09	ncov	2020-11-09	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-001297/2020_EPI_ISL_683959_2020-11-09	ncov	2020-11-09	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001301/2020_EPI_ISL_683960_2020-11-10	ncov	2020-11-10	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001309/2020_EPI_ISL_683961_2020-11-10	ncov	2020-11-10	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001311/2020_EPI_ISL_683962_2020-11-10	ncov	2020-11-10	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-001312/2020_EPI_ISL_683963_2020-11-10	ncov	2020-11-10	North America	?	2030-03-22	B.1.409
hCoV-19/USA/NY-NYCPHL-001317/2020_EPI_ISL_683964_2020-11-10	ncov	2020-11-10	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-001320/2020_EPI_ISL_683965_2020-11-10	ncov	2020-11-10	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001321/2020_EPI_ISL_683966_2020-11-10	ncov	2020-11-10	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001325/2020_EPI_ISL_683967_2020-11-12	ncov	2020-11-12	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001332/2020_EPI_ISL_683968_2020-11-12	ncov	2020-11-12	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-001334/2020_EPI_ISL_683969_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	P.2
hCoV-19/USA/NY-NYCPHL-001335/2020_EPI_ISL_683970_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	B.1.1.70
hCoV-19/USA/NY-NYCPHL-001336/2020_EPI_ISL_683971_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	B.1.1.220
hCoV-19/USA/NY-NYCPHL-001337/2020_EPI_ISL_683972_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	B.1.1.29
hCoV-19/USA/NY-NYCPHL-001338/2020_EPI_ISL_683973_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	B.1.1.70
hCoV-19/USA/NY-NYCPHL-001342/2020_EPI_ISL_683974_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	B.1.409
hCoV-19/USA/NY-NYCPHL-001345/2020_EPI_ISL_683975_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	B.1.409
hCoV-19/USA/NY-NYCPHL-001346/2020_EPI_ISL_683976_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	B.1.325
hCoV-19/USA/NY-NYCPHL-001350/2020_EPI_ISL_683977_2020-11-13	ncov	2020-11-13	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001355/2020_EPI_ISL_683978_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.2
hCoV-19/USA/NY-NYCPHL-001356/2020_EPI_ISL_683979_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.243
hCoV-19/USA/NY-NYCPHL-001358/2020_EPI_ISL_683980_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.311
hCoV-19/USA/NY-NYCPHL-001360/2020_EPI_ISL_683981_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.1.304
hCoV-19/USA/NY-NYCPHL-001361/2020_EPI_ISL_683982_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.280
hCoV-19/USA/NY-NYCPHL-001362/2020_EPI_ISL_683983_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.1.186
hCoV-19/USA/NY-NYCPHL-001364/2020_EPI_ISL_683984_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.1.186
hCoV-19/USA/NY-NYCPHL-001368/2020_EPI_ISL_683985_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.3
hCoV-19/USA/NY-NYCPHL-001373/2020_EPI_ISL_683986_2020-11-16	ncov	2020-11-16	North America	?	2030-03-22	B.1.1.304
